kernel,prototypes,globaloptimization,gridsize,gridresolution,scale,maxF1score,areaunderROC
RBF,50,gs,5,0.22,log,0.6900486159341205,0.6852288815478998
RBF,100,gs,5,0.22,log,0.6800673617829374,0.6787163756488913
RBF,150,gs,5,0.22,log,0.7330640859559552,0.7478527607361962
RBF,200,gs,5,0.22,log,0.7153507526270946,0.644502123643228
RBF,250,gs,5,0.22,log,0.7116960336451309,0.7155261915998112
RBF,300,gs,5,0.22,log,0.6814431321792591,0.5500707881075979
RBF,50,csa,3,0.22,log,0.7123794612674803,0.7360075507314772
RBF,50,csa,2,0.52,log,0.6931579357048337,0.6278433223218498
RBF,100,csa,3,0.22,log,0.7753379032570389,0.7706465313827278
RBF,150,csa,3,0.22,log,0.7172490483726103,0.7155261915998115
Polynomial,50,csa,3,0.42,log,0.7704741379310345,0.7857008022652195
Polynomial,50,csa,2,0.42,log,0.8195953141640043,0.8181217555450683
Polynomial,100,csa,2,0.42,log,0.6716146401804555,0.7109957527135442
Polynomial,150,csa,2,0.42,log,0.6673638178534081,0.5706937234544597
Polynomial,50,csa,4,0.32,log,0.7974091708488826,0.8384615384615387
Polynomial,50,csa,3,0.4,log,0.7309688581314879,0.7668711656441719
Linear,50,csa,10,0.12,log,0.6639344262295083,0.41146767343086355
Linear,50,csa,5,0.25,log,0.6639344262295083,0.41170363378952335
Linear,50,csa,2,0.55,log,0.6639344262295083,0.41146767343086355
